사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,1호선,1,서울역,483,11,"7,963","5,533","10,871","31,479","31,643","73,669","49,003","149,249","36,383","94,786","35,273","50,691","41,477","42,942","48,720","46,909","50,740","45,564","45,280","41,791","56,988","44,398","63,619","45,452","100,634","54,687","152,659","61,655","72,119","38,909","47,289","25,080","51,106","21,490","27,974","13,638","7,756","4,968",21,444,1,1,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,10,동묘앞,84,3,"2,861",918,"3,286","4,614","5,128","8,004","8,066","18,779","7,541","15,213","9,130","17,602","13,369","21,823","18,112","23,065","21,526","24,178","23,292","23,028","26,282","20,769","26,379","15,856","23,275","12,159","19,551","9,210","8,704","5,827","5,031","3,835","4,235","3,839","2,678","3,706",577,"1,759",4,827,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,2,시청,6,0,"1,597","4,399","2,727","17,957","5,971","53,669","6,884","141,150","7,541","60,972","8,328","24,743","12,240","22,388","13,561","20,191","15,934","18,708","20,552","15,439","26,382","13,396","31,233","11,545","59,551","11,039","119,064","11,317","41,635","5,636","31,787","3,793","27,796","3,501","13,739","2,205","2,462",822,3,72,0,2,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,3,종각,63,0,"1,995","3,773","2,818","19,672","5,069","78,825","7,714","178,759","9,593","103,040","13,541","46,680","21,172","40,741","25,849","36,122","31,651","35,718","37,840","30,122","45,887","24,143","50,443","22,553","99,804","22,931","164,560","24,229","66,132","11,811","53,338","5,331","52,175","3,551","24,776","2,276","3,340",951,11,112,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,4,종로3가,190,22,"3,058","3,544","3,061","12,338","3,988","23,040","7,050","59,866","10,981","64,722","18,020","54,340","30,224","52,616","37,148","49,851","41,607","49,204","43,964","44,340","49,172","36,973","53,316","30,066","64,274","23,793","85,046","23,400","48,731","11,226","34,790","4,850","36,333","3,834","20,598","2,789","2,893","1,345",20,316,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,5,종로5가,28,1,"1,458","3,099","2,265","13,936","4,526","34,390","6,620","85,361","11,025","53,440","18,027","43,701","26,246","42,808","31,246","40,504","34,369","36,734","39,739","35,799","44,089","30,038","48,235","24,652","63,291","20,032","82,371","15,996","38,884","9,049","23,306","4,214","19,554","3,305","9,855","2,349","1,551","1,150",4,330,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,6,동대문,415,11,"10,380","1,815","7,880","5,352","12,037","9,885","16,637","19,783","15,671","19,192","13,922","17,298","15,675","19,346","18,244","19,492","19,566","18,295","19,690","17,508","21,258","16,833","21,199","15,587","20,147","15,110","20,332","16,304","13,464","15,398","10,336","10,356","9,669","8,870","6,514","7,191","1,633","5,983",7,"1,043",2,2,0,2,0,0,2021-09-03 10:03
Aug-21,1호선,7,신설동,247,6,"6,828","2,721","7,333","9,771","14,821","21,765","20,523","52,910","14,881","28,274","13,551","18,729","15,578","16,195","16,289","16,020","17,701","15,974","17,358","14,880","19,104","15,583","24,448","15,734","35,024","17,790","48,482","22,904","18,413","15,802","11,610","10,231","9,764","9,428","5,955","7,268","1,352","3,747",15,390,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,1호선,8,제기동,306,3,"4,564","2,141","7,698","8,751","19,090","18,277","27,212","36,659","20,778","33,365","25,282","36,345","31,685","37,097","34,606","33,524","33,777","32,291","33,410","33,172","34,564","31,676","33,607","26,307","34,654","22,022","32,579","23,729","14,456","16,381","8,806","10,036","7,332","9,529","4,831","7,297","1,444","3,233",7,236,0,1,0,0,0,0,2021-09-03 10:03
